ship_mode,segment,country,city,state,postal_code,region,category,sub-category,sales,quantity,discount,profit,order_date,ship_date,order_id,customer_id,payment_due_date,payment_date,payment_delay_days,payment_status,aging_bucket
Second Class,Consumer,United States,Rochester,New York,14609,East,Office Supplies,Storage,22.58,2,0.0,5.8708,2019-08-02,2019-08-06,2978,Consumer_Rochester,2019-09-01,2019-09-14,13,Late,0–30 Days Late
Second Class,Consumer,United States,Mount Pleasant,South Carolina,29464,South,Furniture,Chairs,545.94,6,0.0,87.3504,2020-01-11,2020-01-16,2979,Consumer_Mount Pleasant,2020-02-10,2020-03-12,31,Late,31–60 Days Late
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Office Supplies,Paper,20.736,4,0.2,7.2576,2021-01-13,2021-01-18,2980,Consumer_Philadelphia,2021-02-12,2021-02-10,-2,On Time,On Time / Early
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19134,East,Furniture,Furnishings,43.296,2,0.2,4.3296,2019-08-01,2019-08-04,2981,Consumer_Philadelphia,2019-08-31,2019-10-11,41,Late,31–60 Days Late
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Furniture,Chairs,123.136,4,0.2,13.8528,2019-03-20,2019-03-27,2982,Consumer_Seattle,2019-04-19,2019-04-17,-2,On Time,On Time / Early
Standard Class,Consumer,United States,Seattle,Washington,98115,West,Office Supplies,Binders,11.264,4,0.2,3.8016,2020-09-19,2020-09-25,2983,Consumer_Seattle,2020-10-19,2020-11-02,14,Late,0–30 Days Late
Second Class,Consumer,United States,Springfield,Oregon,97477,West,Office Supplies,Storage,53.424,3,0.2,4.6746,2020-08-26,2020-09-01,2984,Consumer_Springfield,2020-09-25,2020-09-29,4,Late,0–30 Days Late
Second Class,Consumer,United States,Springfield,Oregon,97477,West,Furniture,Tables,275.49,1,0.5,-170.8038,2021-02-20,2021-02-23,2985,Consumer_Springfield,2021-03-22,2021-04-09,18,Late,0–30 Days Late
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Furniture,Furnishings,24.96,4,0.0,6.24,2022-11-05,2022-11-10,2986,Home Office_Columbus,2022-12-05,2023-01-03,29,Late,0–30 Days Late
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Office Supplies,Paper,19.36,2,0.0,9.2928,2021-09-27,2021-09-29,2987,Home Office_Columbus,2021-10-27,2021-11-16,20,Late,0–30 Days Late
Standard Class,Home Office,United States,Columbus,Georgia,31907,South,Office Supplies,Storage,1267.65,9,0.0,152.118,2020-11-10,2020-11-14,2988,Home Office_Columbus,2020-12-10,2021-01-10,31,Late,31–60 Days Late
Second Class,Corporate,United States,Los Angeles,California,90032,West,Technology,Accessories,12.99,1,0.0,0.7794,2019-02-27,2019-03-03,2989,Corporate_Los Angeles,2019-03-29,2019-04-30,32,Late,31–60 Days Late
Second Class,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.56,4,0.2,6.496,2021-11-15,2021-11-17,2990,Corporate_Los Angeles,2021-12-15,2021-12-30,15,Late,0–30 Days Late
Second Class,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Storage,449.15,5,0.0,8.983,2021-05-30,2021-06-01,2991,Corporate_Los Angeles,2021-06-29,2021-08-02,34,Late,31–60 Days Late
Second Class,Corporate,United States,Los Angeles,California,90032,West,Office Supplies,Binders,31.248,7,0.2,10.9368,2020-03-22,2020-03-27,2992,Corporate_Los Angeles,2020-04-21,2020-05-24,33,Late,31–60 Days Late
Standard Class,Corporate,United States,New York City,New York,10024,East,Office Supplies,Appliances,61.44,3,0.0,16.5888,2019-03-07,2019-03-10,2993,Corporate_New York City,2019-04-06,2019-04-21,15,Late,0–30 Days Late
Standard Class,Consumer,United States,Detroit,Michigan,48227,Central,Office Supplies,Binders,895.92,4,0.0,421.0824,2022-07-01,2022-07-03,2994,Consumer_Detroit,2022-07-31,2022-08-04,4,Late,0–30 Days Late
Second Class,Consumer,United States,Stockton,California,95207,West,Office Supplies,Binders,55.36,4,0.2,18.684,2021-12-03,2021-12-06,2995,Consumer_Stockton,2022-01-02,2022-02-03,32,Late,31–60 Days Late
Standard Class,Consumer,United States,Phoenix,Arizona,85023,West,Office Supplies,Storage,55.92,5,0.2,6.291,2022-01-25,2022-02-01,2996,Consumer_Phoenix,2022-02-24,2022-04-05,40,Late,31–60 Days Late
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Envelopes,24.896,4,0.2,8.4024,2021-10-08,2021-10-09,2997,Consumer_Philadelphia,2021-11-07,2021-11-05,-2,On Time,On Time / Early
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Furniture,Furnishings,3.984,1,0.2,0.6474,2019-08-15,2019-08-19,2998,Consumer_Philadelphia,2019-09-14,2019-10-23,39,Late,31–60 Days Late
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Accessories,95.968,4,0.2,28.7904,2021-02-12,2021-02-17,2999,Consumer_Philadelphia,2021-03-14,2021-03-28,14,Late,0–30 Days Late
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Technology,Machines,206.991,3,0.7,-172.4925,2020-11-09,2020-11-13,3000,Consumer_Philadelphia,2020-12-09,2020-12-20,11,Late,0–30 Days Late
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Appliances,44.416,2,0.2,3.8864,2022-12-30,2023-01-04,3001,Consumer_Philadelphia,2023-01-29,2023-01-30,1,Late,0–30 Days Late
Standard Class,Consumer,United States,Philadelphia,Pennsylvania,19120,East,Office Supplies,Binders,9.006,2,0.7,-7.2048,2020-08-23,2020-08-24,3002,Consumer_Philadelphia,2020-09-22,2020-09-20,-2,On Time,On Time / Early
Standard Class,Home Office,United States,Sterling Heights,Michigan,48310,Central,Office Supplies,Binders,19.0,5,0.0,8.93,2020-01-14,2020-01-18,3003,Home Office_Sterling Heights,2020-02-13,2020-03-07,23,Late,0–30 Days Late
Standard Class,Home Office,United States,Rochester,New York,14609,East,Office Supplies,Binders,33.376,4,0.2,10.43,2022-04-16,2022-04-17,3004,Home Office_Rochester,2022-05-16,2022-05-24,8,Late,0–30 Days Late
First Class,Home Office,United States,New York City,New York,10011,East,Office Supplies,Appliances,207.48,1,0.0,62.244,2022-12-21,2022-12-26,3005,Home Office_New York City,2023-01-20,2023-01-17,-3,On Time,On Time / Early
Standard Class,Home Office,United States,Eau Claire,Wisconsin,54703,Central,Office Supplies,Binders,91.68,3,0.0,45.84,2020-12-09,2020-12-11,3006,Home Office_Eau Claire,2021-01-08,2021-01-26,18,Late,0–30 Days Late
First Class,Consumer,United States,New York City,New York,10009,East,Office Supplies,Appliances,904.9,5,0.0,253.372,2019-11-03,2019-11-10,3007,Consumer_New York City,2019-12-03,2020-01-03,31,Late,31–60 Days Late
Standard Class,Consumer,United States,Rancho Cucamonga,California,91730,West,Office Supplies,Binders,34.272,3,0.2,11.1384,2021-02-17,2021-02-21,3008,Consumer_Rancho Cucamonga,2021-03-19,2021-03-29,10,Late,0–30 Days Late
First Class,Consumer,United States,Murray,Kentucky,42071,South,Furniture,Furnishings,191.82,3,0.0,74.8098,2020-05-18,2020-05-19,3009,Consumer_Murray,2020-06-17,2020-06-15,-2,On Time,On Time / Early
Standard Class,Corporate,United States,Toledo,Ohio,43615,East,Office Supplies,Appliances,243.88,5,0.2,27.4365,2019-09-25,2019-10-01,3010,Corporate_Toledo,2019-10-25,2019-11-12,18,Late,0–30 Days Late
Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Office Supplies,Binders,12.03,5,0.7,-9.223,2019-01-08,2019-01-12,3011,Home Office_Louisville,2019-02-07,2019-03-07,28,Late,0–30 Days Late
Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Technology,Machines,2549.985,5,0.7,-3399.98,2020-05-22,2020-05-26,3012,Home Office_Louisville,2020-06-21,2020-07-15,24,Late,0–30 Days Late
Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Office Supplies,Binders,21.594,2,0.7,-15.8356,2020-04-20,2020-04-24,3013,Home Office_Louisville,2020-05-20,2020-06-01,12,Late,0–30 Days Late
Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Office Supplies,Binders,8.964,6,0.7,-6.5736,2022-08-13,2022-08-16,3014,Home Office_Louisville,2022-09-12,2022-09-25,13,Late,0–30 Days Late
Standard Class,Home Office,United States,Louisville,Colorado,80027,West,Office Supplies,Paper,20.736,4,0.2,7.2576,2019-06-13,2019-06-14,3015,Home Office_Louisville,2019-07-13,2019-08-07,25,Late,0–30 Days Late
Standard Class,Home Office,United States,New York City,New York,10035,East,Furniture,Tables,344.22,2,0.4,-103.266,2020-04-29,2020-04-30,3016,Home Office_New York City,2020-05-29,2020-06-11,13,Late,0–30 Days Late
Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Office Supplies,Storage,727.296,8,0.2,-172.7328,2021-12-31,2022-01-04,3017,Home Office_Pharr,2022-01-30,2022-03-14,43,Late,31–60 Days Late
Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Furniture,Furnishings,22.608,3,0.6,-10.1736,2020-07-20,2020-07-22,3018,Home Office_Pharr,2020-08-19,2020-09-28,40,Late,31–60 Days Late
Standard Class,Home Office,United States,Pharr,Texas,78577,Central,Technology,Accessories,666.4,7,0.2,-33.32,2021-06-23,2021-06-27,3019,Home Office_Pharr,2021-07-23,2021-08-05,13,Late,0–30 Days Late
Standard Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Fasteners,5.04,3,0.0,0.2016,2020-07-12,2020-07-15,3020,Consumer_West Jordan,2020-08-11,2020-08-27,16,Late,0–30 Days Late
Standard Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Paper,92.94,3,0.0,41.823,2019-08-26,2019-08-31,3021,Consumer_West Jordan,2019-09-25,2019-10-13,18,Late,0–30 Days Late
Standard Class,Consumer,United States,West Jordan,Utah,84084,West,Furniture,Furnishings,66.69,3,0.0,22.0077,2022-02-01,2022-02-04,3022,Consumer_West Jordan,2022-03-03,2022-04-11,39,Late,31–60 Days Late
Standard Class,Consumer,United States,West Jordan,Utah,84084,West,Office Supplies,Binders,91.68,5,0.2,28.65,2022-05-18,2022-05-20,3023,Consumer_West Jordan,2022-06-17,2022-06-23,6,Late,0–30 Days Late
Standard Class,Consumer,United States,Brownsville,Texas,78521,Central,Furniture,Bookcases,327.7328,2,0.32,-14.4588,2020-07-07,2020-07-11,3024,Consumer_Brownsville,2020-08-06,2020-08-30,24,Late,0–30 Days Late
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Binders,52.272,11,0.2,17.6418,2021-04-07,2021-04-08,3025,Consumer_New York City,2021-05-07,2021-06-08,32,Late,31–60 Days Late
Standard Class,Consumer,United States,New York City,New York,10011,East,Office Supplies,Paper,17.94,3,0.0,8.073,2020-04-12,2020-04-19,3026,Consumer_New York City,2020-05-12,2020-06-06,25,Late,0–30 Days Late
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,254.352,3,0.2,0.0,2022-07-15,2022-07-21,3027,Home Office_Philadelphia,2022-08-14,2022-09-13,30,Late,0–30 Days Late
Same Day,Corporate,United States,Billings,Montana,59102,West,Office Supplies,Binders,8.288,2,0.2,2.6936,2020-01-21,2020-01-25,3028,Corporate_Billings,2020-02-20,2020-03-04,13,Late,0–30 Days Late
Standard Class,Consumer,United States,Chesapeake,Virginia,23320,South,Furniture,Chairs,504.9,5,0.0,80.784,2021-02-13,2021-02-15,3029,Consumer_Chesapeake,2021-03-15,2021-04-26,42,Late,31–60 Days Late
Standard Class,Corporate,United States,Gresham,Oregon,97030,West,Technology,Phones,403.168,4,0.2,25.198,2021-04-27,2021-04-28,3030,Corporate_Gresham,2021-05-27,2021-07-05,39,Late,31–60 Days Late
Standard Class,Corporate,United States,Lincoln Park,Michigan,48146,Central,Furniture,Bookcases,194.32,4,0.0,31.0912,2020-01-22,2020-01-25,3031,Corporate_Lincoln Park,2020-02-21,2020-03-22,30,Late,0–30 Days Late
Standard Class,Corporate,United States,Lincoln Park,Michigan,48146,Central,Office Supplies,Art,25.99,1,0.0,7.5371,2021-05-26,2021-05-31,3032,Corporate_Lincoln Park,2021-06-25,2021-07-19,24,Late,0–30 Days Late
Standard Class,Consumer,United States,Gresham,Oregon,97030,West,Furniture,Chairs,195.136,4,0.2,-12.196,2019-09-16,2019-09-21,3033,Consumer_Gresham,2019-10-16,2019-11-28,43,Late,31–60 Days Late
Standard Class,Home Office,United States,Philadelphia,Pennsylvania,19143,East,Office Supplies,Paper,20.736,4,0.2,7.2576,2019-10-10,2019-10-17,3034,Home Office_Philadelphia,2019-11-09,2019-12-06,27,Late,0–30 Days Late
Standard Class,Consumer,United States,Monroe,Louisiana,71203,South,Technology,Accessories,53.7,6,0.0,10.203,2019-02-09,2019-02-13,3035,Consumer_Monroe,2019-03-11,2019-03-23,12,Late,0–30 Days Late
Standard Class,Consumer,United States,Monroe,Louisiana,71203,South,Office Supplies,Binders,36.26,7,0.0,16.6796,2020-04-30,2020-05-03,3036,Consumer_Monroe,2020-05-30,2020-07-12,43,Late,31–60 Days Late
Standard Class,Consumer,United States,Monroe,Louisiana,71203,South,Office Supplies,Art,56.3,2,0.0,15.764,2021-07-17,2021-07-24,3037,Consumer_Monroe,2021-08-16,2021-09-07,22,Late,0–30 Days Late
Standard Class,Consumer,United States,Monroe,Louisiana,71203,South,Office Supplies,Paper,32.4,5,0.0,15.552,2019-08-08,2019-08-14,3038,Consumer_Monroe,2019-09-07,2019-10-18,41,Late,31–60 Days Late
Standard Class,Consumer,United States,Monroe,Louisiana,71203,South,Furniture,Furnishings,29.16,2,0.0,10.7892,2022-02-26,2022-03-04,3039,Consumer_Monroe,2022-03-28,2022-04-02,5,Late,0–30 Days Late
Standard Class,Corporate,United States,Pasadena,California,91104,West,Furniture,Tables,171.288,3,0.2,-6.4233,2021-10-11,2021-10-18,3040,Corporate_Pasadena,2021-11-10,2021-12-19,39,Late,31–60 Days Late
Standard Class,Consumer,United States,Chattanooga,Tennessee,37421,South,Furniture,Furnishings,16.72,5,0.2,3.344,2021-10-20,2021-10-22,3041,Consumer_Chattanooga,2021-11-19,2021-12-16,27,Late,0–30 Days Late
Same Day,Home Office,United States,Long Beach,California,90805,West,Office Supplies,Paper,12.96,2,0.0,6.2208,2020-09-04,2020-09-09,3042,Home Office_Long Beach,2020-10-04,2020-10-15,11,Late,0–30 Days Late
Same Day,Home Office,United States,Long Beach,California,90805,West,Office Supplies,Envelopes,22.18,2,0.0,10.8682,2021-07-16,2021-07-19,3043,Home Office_Long Beach,2021-08-15,2021-08-15,0,On Time,On Time / Early
Same Day,Home Office,United States,Long Beach,California,90805,West,Furniture,Chairs,2054.272,8,0.2,256.784,2020-11-18,2020-11-22,3044,Home Office_Long Beach,2020-12-18,2020-12-16,-2,On Time,On Time / Early
Second Class,Consumer,United States,Troy,Ohio,45373,East,Technology,Phones,1022.97,5,0.4,-255.7425,2020-09-04,2020-09-05,3045,Consumer_Troy,2020-10-04,2020-10-18,14,Late,0–30 Days Late
Second Class,Home Office,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Art,13.9,5,0.0,3.614,2019-09-17,2019-09-21,3046,Home Office_Minneapolis,2019-10-17,2019-11-28,42,Late,31–60 Days Late
Second Class,Home Office,United States,Minneapolis,Minnesota,55407,Central,Office Supplies,Paper,26.38,1,0.0,12.1348,2021-09-16,2021-09-20,3047,Home Office_Minneapolis,2021-10-16,2021-11-26,41,Late,31–60 Days Late
Standard Class,Consumer,United States,Seattle,Washington,98105,West,Office Supplies,Binders,43.176,7,0.2,13.4925,2021-08-23,2021-08-26,3048,Consumer_Seattle,2021-09-22,2021-10-13,21,Late,0–30 Days Late
First Class,Home Office,United States,Columbus,Georgia,31907,South,Furniture,Tables,411.8,2,0.0,70.006,2020-01-01,2020-01-06,3049,Home Office_Columbus,2020-01-31,2020-02-09,9,Late,0–30 Days Late
First Class,Home Office,United States,Columbus,Georgia,31907,South,Technology,Accessories,360.0,4,0.0,129.6,2020-06-27,2020-06-30,3050,Home Office_Columbus,2020-07-27,2020-07-27,0,On Time,On Time / Early
Standard Class,Home Office,United States,Meridian,Idaho,83642,West,Furniture,Furnishings,41.96,2,0.0,2.9372,2020-10-10,2020-10-11,3051,Home Office_Meridian,2020-11-09,2020-12-20,41,Late,31–60 Days Late
Standard Class,Home Office,United States,Meridian,Idaho,83642,West,Office Supplies,Appliances,227.84,4,0.0,66.0736,2021-03-24,2021-03-31,3052,Home Office_Meridian,2021-04-23,2021-05-01,8,Late,0–30 Days Late
Standard Class,Home Office,United States,Meridian,Idaho,83642,West,Office Supplies,Paper,37.94,2,0.0,18.2112,2021-11-05,2021-11-08,3053,Home Office_Meridian,2021-12-05,2021-12-10,5,Late,0–30 Days Late
Second Class,Home Office,United States,Detroit,Michigan,48227,Central,Technology,Phones,517.9,2,0.0,134.654,2022-02-26,2022-02-28,3054,Home Office_Detroit,2022-03-28,2022-04-30,33,Late,31–60 Days Late
Second Class,Home Office,United States,Detroit,Michigan,48227,Central,Office Supplies,Binders,5.28,2,0.0,2.4288,2020-07-28,2020-08-01,3055,Home Office_Detroit,2020-08-27,2020-08-30,3,Late,0–30 Days Late
Standard Class,Corporate,United States,Chicago,Illinois,60623,Central,Technology,Copiers,2799.96,5,0.2,874.9875,2022-02-06,2022-02-11,3056,Corporate_Chicago,2022-03-08,2022-03-28,20,Late,0–30 Days Late
Second Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Envelopes,8.96,2,0.0,4.3008,2021-10-09,2021-10-15,3057,Corporate_San Francisco,2021-11-08,2021-11-18,10,Late,0–30 Days Late
Second Class,Corporate,United States,San Francisco,California,94110,West,Office Supplies,Labels,31.5,10,0.0,15.12,2020-10-31,2020-11-01,3058,Corporate_San Francisco,2020-11-30,2020-11-29,-1,On Time,On Time / Early
Second Class,Corporate,United States,San Francisco,California,94110,West,Furniture,Furnishings,30.56,2,0.0,10.3904,2019-09-26,2019-10-02,3059,Corporate_San Francisco,2019-10-26,2019-10-30,4,Late,0–30 Days Late
Second Class,Corporate,United States,San Francisco,California,94110,West,Furniture,Tables,24.368,2,0.2,-3.3506,2022-03-31,2022-04-04,3060,Corporate_San Francisco,2022-04-30,2022-06-13,44,Late,31–60 Days Late
Standard Class,Corporate,United States,Newark,Ohio,43055,East,Technology,Accessories,119.976,3,0.2,22.4955,2022-07-07,2022-07-10,3061,Corporate_Newark,2022-08-06,2022-08-03,-3,On Time,On Time / Early
Standard Class,Consumer,United States,Dallas,Texas,75081,Central,Office Supplies,Paper,26.88,8,0.2,9.744,2021-07-12,2021-07-18,3062,Consumer_Dallas,2021-08-11,2021-08-18,7,Late,0–30 Days Late
First Class,Corporate,United States,Newark,Delaware,19711,East,Technology,Phones,83.97,3,0.0,23.5116,2022-01-30,2022-02-01,3063,Corporate_Newark,2022-03-01,2022-04-07,37,Late,31–60 Days Late
First Class,Corporate,United States,Newark,Delaware,19711,East,Technology,Accessories,104.97,3,0.0,7.3479,2019-09-04,2019-09-07,3064,Corporate_Newark,2019-10-04,2019-11-16,43,Late,31–60 Days Late
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Storage,90.8,8,0.0,25.424,2019-05-11,2019-05-15,3065,Home Office_Albuquerque,2019-06-10,2019-07-04,24,Late,0–30 Days Late
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Technology,Phones,140.736,8,0.2,49.2576,2019-12-19,2019-12-25,3066,Home Office_Albuquerque,2020-01-18,2020-02-26,39,Late,31–60 Days Late
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Technology,Accessories,214.95,5,0.0,88.1295,2019-07-15,2019-07-22,3067,Home Office_Albuquerque,2019-08-14,2019-08-14,0,On Time,On Time / Early
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Paper,45.36,7,0.0,21.7728,2021-07-18,2021-07-19,3068,Home Office_Albuquerque,2021-08-17,2021-08-28,11,Late,0–30 Days Late
Second Class,Home Office,United States,Albuquerque,New Mexico,87105,West,Office Supplies,Paper,288.24,6,0.0,138.3552,2022-11-06,2022-11-12,3069,Home Office_Albuquerque,2022-12-06,2023-01-14,39,Late,31–60 Days Late
Same Day,Home Office,United States,Toledo,Ohio,43615,East,Office Supplies,Appliances,663.936,4,0.2,82.992,2021-10-18,2021-10-25,3070,Home Office_Toledo,2021-11-17,2021-11-30,13,Late,0–30 Days Late
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Storage,2934.33,7,0.0,792.2691,2020-10-06,2020-10-13,3071,Corporate_Newark,2020-11-05,2020-12-11,36,Late,31–60 Days Late
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Furniture,Furnishings,124.41,3,0.0,14.9292,2019-08-15,2019-08-21,3072,Corporate_Newark,2019-09-14,2019-10-13,29,Late,0–30 Days Late
Standard Class,Corporate,United States,Newark,Delaware,19711,East,Office Supplies,Art,57.75,5,0.0,26.565,2020-12-01,2020-12-06,3073,Corporate_Newark,2020-12-31,2021-02-09,40,Late,31–60 Days Late
First Class,Consumer,United States,Los Angeles,California,90045,West,Office Supplies,Storage,114.46,2,0.0,28.615,2019-09-22,2019-09-28,3074,Consumer_Los Angeles,2019-10-22,2019-11-11,20,Late,0–30 Days Late
Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Bookcases,120.666,2,0.15,18.4548,2022-10-27,2022-10-31,3075,Consumer_Los Angeles,2022-11-26,2022-11-25,-1,On Time,On Time / Early
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Office Supplies,Storage,342.864,3,0.2,38.5722,2022-12-28,2023-01-04,3076,Home Office_Dallas,2023-01-27,2023-02-19,23,Late,0–30 Days Late
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Furniture,Furnishings,16.74,5,0.6,-14.229,2020-10-07,2020-10-08,3077,Home Office_Dallas,2020-11-06,2020-12-07,31,Late,31–60 Days Late
Standard Class,Home Office,United States,Dallas,Texas,75217,Central,Furniture,Chairs,981.372,2,0.3,-140.196,2019-07-30,2019-08-03,3078,Home Office_Dallas,2019-08-29,2019-09-12,14,Late,0–30 Days Late
Standard Class,Home Office,United States,San Diego,California,92037,West,Office Supplies,Art,31.84,8,0.0,10.5072,2022-11-01,2022-11-03,3079,Home Office_San Diego,2022-12-01,2023-01-13,43,Late,31–60 Days Late
First Class,Home Office,United States,Apple Valley,California,92307,West,Office Supplies,Paper,12.96,2,0.0,6.2208,2022-11-19,2022-11-22,3080,Home Office_Apple Valley,2022-12-19,2023-01-03,15,Late,0–30 Days Late
First Class,Home Office,United States,Apple Valley,California,92307,West,Technology,Phones,43.176,3,0.2,15.1116,2021-07-31,2021-08-06,3081,Home Office_Apple Valley,2021-08-30,2021-09-03,4,Late,0–30 Days Late
Standard Class,Home Office,United States,Louisville,Kentucky,40214,South,Office Supplies,Binders,58.34,2,0.0,28.0032,2022-10-19,2022-10-24,3082,Home Office_Louisville,2022-11-18,2022-11-17,-1,On Time,On Time / Early
Standard Class,Home Office,United States,Louisville,Kentucky,40214,South,Technology,Phones,539.97,3,0.0,134.9925,2020-04-01,2020-04-02,3083,Home Office_Louisville,2020-05-01,2020-05-31,30,Late,0–30 Days Late
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,3.928,1,0.2,1.3257,2020-12-25,2020-12-30,3084,Consumer_New York City,2021-01-24,2021-01-24,0,On Time,On Time / Early
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Binders,252.784,4,0.8,-417.0936,2022-06-03,2022-06-08,3085,Consumer_Houston,2022-07-03,2022-07-23,20,Late,0–30 Days Late
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Technology,Accessories,127.984,2,0.2,15.998,2021-09-08,2021-09-13,3086,Consumer_Houston,2021-10-08,2021-10-06,-2,On Time,On Time / Early
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Furniture,Furnishings,3.984,2,0.6,-2.6892,2022-02-28,2022-03-06,3087,Consumer_Houston,2022-03-30,2022-05-02,33,Late,31–60 Days Late
Standard Class,Consumer,United States,Houston,Texas,77070,Central,Office Supplies,Appliances,12.992,2,0.8,-32.48,2020-08-10,2020-08-11,3088,Consumer_Houston,2020-09-09,2020-10-12,33,Late,31–60 Days Late
Second Class,Home Office,United States,Henderson,Kentucky,42420,South,Furniture,Furnishings,61.0,5,0.0,25.62,2020-04-20,2020-04-21,3089,Home Office_Henderson,2020-05-20,2020-07-03,44,Late,31–60 Days Late
Second Class,Home Office,United States,Henderson,Kentucky,42420,South,Technology,Phones,671.93,7,0.0,188.1404,2021-09-12,2021-09-19,3090,Home Office_Henderson,2021-10-12,2021-11-10,29,Late,0–30 Days Late
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Binders,447.86,7,0.0,219.4514,2022-07-24,2022-07-29,3091,Consumer_Newark,2022-08-23,2022-08-18,-5,On Time,On Time / Early
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Technology,Phones,479.95,5,0.0,129.5865,2019-06-05,2019-06-12,3092,Consumer_Newark,2019-07-05,2019-07-23,18,Late,0–30 Days Late
Standard Class,Consumer,United States,Newark,Delaware,19711,East,Office Supplies,Paper,166.44,3,0.0,79.8912,2022-05-26,2022-06-02,3093,Consumer_Newark,2022-06-25,2022-07-25,30,Late,0–30 Days Late
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Supplies,31.68,4,0.2,2.772,2019-07-09,2019-07-12,3094,Consumer_Bolingbrook,2019-08-08,2019-08-08,0,On Time,On Time / Early
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Paper,10.368,2,0.2,3.6288,2022-12-11,2022-12-17,3095,Consumer_Bolingbrook,2023-01-10,2023-02-14,35,Late,31–60 Days Late
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Fasteners,12.032,8,0.2,2.256,2021-09-07,2021-09-13,3096,Consumer_Bolingbrook,2021-10-07,2021-11-16,40,Late,31–60 Days Late
Same Day,Consumer,United States,Bolingbrook,Illinois,60440,Central,Office Supplies,Appliances,5.768,2,0.8,-13.5548,2020-06-29,2020-07-03,3097,Consumer_Bolingbrook,2020-07-29,2020-09-05,38,Late,31–60 Days Late
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Office Supplies,Labels,33.12,4,0.2,11.592,2019-02-10,2019-02-17,3098,Corporate_Fort Worth,2019-03-12,2019-04-06,25,Late,0–30 Days Late
Standard Class,Corporate,United States,Fort Worth,Texas,76106,Central,Furniture,Bookcases,220.2656,4,0.32,-42.1096,2019-11-03,2019-11-09,3099,Corporate_Fort Worth,2019-12-03,2019-12-17,14,Late,0–30 Days Late
Standard Class,Consumer,United States,New York City,New York,10024,East,Office Supplies,Binders,10.776,3,0.2,3.5022,2021-07-31,2021-08-05,3100,Consumer_New York City,2021-08-30,2021-09-17,18,Late,0–30 Days Late
Standard Class,Consumer,United States,New York City,New York,10024,East,Furniture,Bookcases,242.352,3,0.2,9.0882,2019-12-04,2019-12-06,3101,Consumer_New York City,2020-01-03,2020-01-22,19,Late,0–30 Days Late
Second Class,Corporate,United States,Providence,Rhode Island,2908,East,Office Supplies,Supplies,695.16,6,0.0,34.758,2022-08-30,2022-09-04,3102,Corporate_Providence,2022-09-29,2022-10-29,30,Late,0–30 Days Late
Second Class,Corporate,United States,Providence,Rhode Island,2908,East,Furniture,Bookcases,220.98,1,0.0,50.8254,2022-01-03,2022-01-04,3103,Corporate_Providence,2022-02-02,2022-02-17,15,Late,0–30 Days Late
